OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
67,376,SOUTHRIDGE SCHOOL SOCCER FIELD,1425,QUEENS BLVD,SCHOOL BOARD,538985.859,4808533.068,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3774.0488445,265.080577298551
68,804,ST DOMINIC SAVIO SEPARATE SCHOOL SOCCER FIELD,3,WESTFOREST TRAIL,SCHOOL BOARD,537124.58,4809030.308,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3784.0992685,252.470857210922
69,408,SUNNYSIDE PUBLIC SCHOOL SOCCER FIELD,1042,WEBER ST E,SCHOOL BOARD,544427.191,4809349.804,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5040.688186,301.218591345214
70,388,TRILLIUM PUBLIC SCHOOL SOCCER/FOOTBALL FIELD,79,LAURENTIAN DR,SCHOOL BOARD,540719.205,4807274.516,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5263.140645,301.844571367628
71,808,WESTHEIGHTS PUBLIC SCHOOL SOCCER FIELD,429,WESTHEIGHTS DR,SCHOOL BOARD,537590.663,4807616.882,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4272.935153,277.53873940414
72,402,WILSON AVENUE SCHOOL SOCCER FIELD,221,WILSON AVE,SCHOOL BOARD,544160.3425,4808272.0102,2007-11-21,2015-09-09,2012ORTHO,2012-04-01,530.24865816,112.143534348114
73,947,ST MARYS HIGH SCHOOL FOOTBALL/SOCCER FIELD,1500,BLOCK LINE RD,SCHOOL BOARD,542956.534,4807799.743,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,8361.260013,397.075542171681
74,949,ST MARYS HIGH SCHOOL PRACTICE FIELD,1500,BLOCK LINE RD,SCHOOL BOARD,542885.055,4807666.498,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6328.14062,328.195918335072
75,779,MORRISON PARK SOCCER FIELD-1,245,MORRISON RD,KITCHENER,547456.487,4808951.195,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4256.8211925,269.180898171839
76,730,BLESSED SACRAMENT SEPARATE SCHOOL SOCCER FIELD,367,THE COUNTRY WAY,SCHOOL BOARD,541759.197,4806256.931,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2527.320124,206.192837122641
77,400,BRIGADOON PUBLIC SCHOOL SOCCER FIELD,415,CARYNDALE DR,SCHOOL BOARD,544029.453,4803624.572,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1204.00581,139.261387828231
78,733,BRIDGEPORT PUBLIC SCHOOL SOCCER FIELD,59,BRIDGE ST W,SCHOOL BOARD,541541.2166,4814501.3894,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2928.38846238,212.742769770742
79,762,GLENCARIN SCHOOL SOCCER FIELD-1,664,ERINBROOK DR,SCHOOL BOARD,541229.737,4806503.691,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2188.1714085,190.283228169146
80,763,GLENCARIN SCHOOL SOCCER FIELD-2,664,ERINBROOK DR,SCHOOL BOARD,541229.566,4806503.691,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2769.2746155,216.854013661392
81,403,HOWARD ROBERTSON SCHOOL SOCCER FIELD,130,MORGAN AVE,SCHOOL BOARD,546199.609,4808721.962,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1497.269607,157.549435386089
82,384,J.F. CARMIACHAEL SCHOOL SOCCER FIELD,80,PATRICIA AVE,SCHOOL BOARD,540090.524,4809766.686,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,810.6197645,115.62245360853
83,766,K.C.I. SPORTSFIELDS SOCCER FIELD-1,21,PINE ST,SCHOOL BOARD,539662.717,4811852.491,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5180.915666,297.981890140293
84,767,K.C.I. SPORTSFIELDS SOCCER FIELD-2,21,PINE ST,SCHOOL BOARD,539709.406,4811794.782,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2407.9782855,202.579615064314
85,387,LAURENTIAN SCHOOL SOCCER FIELD,777,WESTMOUNT RD E,SCHOOL BOARD,540239.011,4807321.246,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4696.152128,291.088806664546
86,417,MACKENZIE KING SCHOOL SOCCER FIELD,51,NATCHEZ RD,SCHOOL BOARD,544753.723,4812658.894,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3028.177117,236.847535386816
87,772,MARGARET AVENUE SCHOOL SOCCER FIELD,325,LOUISA ST,SCHOOL BOARD,541299.311,4812022.603,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4590.7489365,299.007420784916
88,4859,OUR LADY OF GRACE SOCCER FIELD,70,GRACEFIELD CRES,SCHOOL BOARD,542110.237,4807592.164,2008-04-02,2015-09-09,2006 ORTHO,2006-03-31,2506.9414225,202.921541160476
89,786,ROSEMOUNT SCHOOL FIELD HOCKEY-2,80,BURLINGTON DR,SCHOOL BOARD,543797.5026,4812291.5583,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3580.40202321,241.18033802618
90,785,ROSEMOUNT SCHOOL FIELD HOCKEY-1,80,BURLINGTON DR,SCHOOL BOARD,543881.128,4812396.745,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6140.787087,342.125779607849
91,395,PIONEER PARK SCHOOL SOCCER FIELD,55,UPPER CANADA DR,SCHOOL BOARD,545053.051,4804978.023,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2301.416421,272.085221087762
92,788,QUEEN ELIZABETH SCHOOL SOCCER FIELD,191,HOFFMAN ST,SCHOOL BOARD,541631.747,4808691.195,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3828.677581,256.574432904565
93,379,QUEENSMOUNT SCHOOL SOCCER FIELD,21,WESTMOUNT RD W,SCHOOL BOARD,539402.301,4809027.095,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5441.6413985,300.871435690686
94,319,RESURRECTION HIGH SCHOOL SOCCER/FOOTBALL MAIN,455,UNIVERSITY AVE W,SCHOOL BOARD,536830.247,4809767.552,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6112.970462,322.466327330978
95,399,CONESTOGA COLLEGE SOCCER FIELD ,299,DOON VALLEY DR,SCHOOL BOARD,547638.494,4804186.842,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4040.4696225,265.564961786202
96,398,DOON SCHOOL SOCCER FIELD-1,1401,DOON VILLAGE RD,SCHOOL BOARD,546916.811,4803977.161,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1779.1966695,181.479770725734
97,386,COURTLAND AVENUE PUBLIC SCHOOL SOCCER FIELD,107,COURTLAND AVE E,SCHOOL BOARD,541347.777,4810118.246,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3519.3006645,248.205123208
98,392,COUNTRY HILLS PUBLIC SCHOOL SOCCER FIELD,195,COUNTRY HILL DR,SCHOOL BOARD,542787.6696,4806844.3719,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1869.44513955,210.476786123354
99,6854,WILSON AVENUE SCHOOL SOCCER FIELD 2,221,WILSON AVE,SCHOOL BOARD,544236.1845,4808207.3279,2014-02-12,2015-09-09,2012 ORTHO,2012-04-01,530.24787234,112.143499556472
100,6913,W.T. TOWNSHEND PUBLIC SCHOOL SOCCER FIELD,245,ACTIVA AVE,SCHOOL BOARD,539124.991,4806100.7579,2014-02-18,2015-09-09,ORTHO 2012,2012-04-01,1918.966457235,184.926754958799
101,413,SMITHSON SCHOOL SOCCER FIELD-1,150,BELLEVIEW AVE,SCHOOL BOARD,543612.6363,4811432.9587,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2630.067876575,230.295713973008
