X,Y,OBJECTID,NAME,ADDRESS,LONGITUDE,LATITUDE,CreationDate,Creator,EditDate,Editor
-80.535847525999941,43.457624719000023,34,Mount Zion Lutheran Church,29 WESTMOUNT RD S,-80.5358475258925,43.4576247185621,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.543111669999973,43.45712133,35,First Baptist Church,306 ERB ST W,-80.5431116697511,43.4571213301068,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.510846724999965,43.471858060000017,36,Lincoln Road Chapel,145 LINCOLN RD,-80.5108467246544,43.4718580598322,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.602322509999965,43.485682061,37,Creekside Church (formerly Community Fellowship Baptist Church),660 CONSERVATION DR,-80.602322509603,43.4856820608385,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.535469951999971,43.459099693000013,38,Muslim Society of Waterloo and Wellington Counties,213 ERB ST W,-80.5354699519349,43.4590996934266,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.516271492999977,43.462197736,39,St. Louis Roman Catholic Church,53 ALLEN ST E,-80.5162714933869,43.4621977360425,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.533406553999953,43.475563313,40,Chabad Lubavitch of the Waterloo Region,259 ALBERT ST,-80.5334065544614,43.4755633127791,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.545372068999939,43.467073070000026,41,Grace Mennonite Brethren Church ,140 WESTMOUNT RD N,-80.5453720693848,43.4670730700331,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.501274186999979,43.475770919000013,42,St. Agnes Roman Catholic Church,75 BLUEVALE ST N,-80.50127418658,43.4757709192544,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.547605249999947,43.48494980000001,43,Waterloo Christian Reformed Church,209 BEARINGER RD,-80.5476052499236,43.4849497995152,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.505316186999949,43.482114333000027,44,Lincoln Heights Evangelical Missionary Church,289 LINCOLN RD,-80.5053161872924,43.4821143330559,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.523735100999943,43.471515621,45,Ukranian Orthodox Church Of St. Sophia,154 KING ST N,-80.5237351012641,43.471515620886,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.552541775999941,43.442982602000029,46,Church Of God (German),170 MIDDLEBURY DR,-80.5525417760678,43.4429826016761,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
