X,Y,OBJECTID,FACILITY,ADDRESS,OWNER,TYPE,LONGITUDE,LATITUDE,CreationDate,Creator,EditDate,Editor
-80.531626022999944,43.467226253,39,Eby Farmstead Animal Farm,,City of Waterloo,Sports or Recreation,-80.5316260232787,43.467226252681,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.528137673999936,43.467416797000027,40,Victorian Gardens,,City of Waterloo,Arts or Culture,-80.5281376737239,43.4674167974076,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.524541960999954,43.465945201000011,41,Waterloo Public Library (Main),35 ALBERT ST,City of Waterloo,Library,-80.524541961043,43.4659452012068,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.571300374999964,43.474583397,42,Waterloo Public Library (Harper Branch),FISCHER-HALLMAN RD N,City of Waterloo,Library,-80.5713003752609,43.4745833967909,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.54468860299994,43.48862753,43,Waterloo Public Library (McCormick Branch),500 PARKSIDE DR,City of Waterloo,Library,-80.5446886028932,43.4886275300357,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.526262844999962,43.464919922,44,Canadian Clay and Glass Gallery,25 CAROLINE ST N,City of Waterloo,Arts or Culture,-80.5262628453287,43.4649199216069,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.542091385999981,43.47046433700001,45,University of Waterloo,200 UNIVERSITY AVE W,Private,Academic Institution,-80.5420913859119,43.4704643371967,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.527740642999959,43.473627954000023,46,Wilfrid Laurier University,75 UNIVERSITY AVE W,Private,Academic Institution,-80.5277406429702,43.4736279544473,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.51833383799999,43.479170609000022,47,Conestoga College,108 UNIVERSITY AVE E,Private,Academic Institution,-80.5183338378086,43.4791706091034,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.527527072999987,43.498037691,48,Conestoga Mall,550 KING ST N,Private,Shopping Centre,-80.5275270733277,43.4980376905538,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.527594171999965,43.465328381,49,Perimeter Institute,31 CAROLINE ST N,Private,Academic Institution,-80.5275941719679,43.4653283808437,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.525259441999935,43.463903762000029,50,Centre for International Governance Innovation,67 ERB ST W,Private,Academic Institution,-80.5252594423004,43.4639037615119,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
