OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
319,7334,UNNAMED 80,OPEN SPACE,OPEN SPACE/SWM,LOCAL,,FAIRWAY RD N,KITCHENER/GRCA,2014-09-11,2014-09-11,58M-576,2014-08-12,32638.42353372,741.111064627913
320,2542,GRAND VIEW WOODS SOUTH (GRCA),NATURAL AREA,OPEN SPACE,MINOR,,GRANDHILL DR,GRCA,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,96654.31964393,1980.62476783041
321,2449,WALLENBERG PARK,GREEN (PARKETTE),PASSIVE AREA,LOCAL,160,WEBER ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2061.84445739,243.745501796857
322,5607,UNNAMED 70,OPEN SPACE,OPEN SPACE/SERVICE CORRIDOR,MINOR,,PONDCLIFFE CRT,KITCHENER,2011-04-27,2013-05-01,58M-504,1999-08-01,5423.127168385,542.271018676683
323,2399,LANCASTER BUSINESS PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,RIVERBEND DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,17445.351849025,844.514012936134
324,5313,ISAIAH PL - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,ISAIAH PL,KITCHENER,2009-04-19,2014-01-10,58M-451,2008-01-11,14852.13372943,563.776074145914
325,7533,UNNAMED 94,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,MARIANNE DORN TRAIL,KITCHENER,2015-01-23,2015-05-21,58M-572,2014-05-15,20199.9676099,781.33591064767
326,2454,FALCONRIDGE DRIVE - NATURAL AREA & SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,LOCAL,,FALCONRIDGE DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,8825.707534705,543.440297860465
327,5511,WHEATFIELD PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,WHEATFIELD CRES,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,11747.499866525,1324.72212299874
328,5529,HENRY STURM GREENWAY - FENWICK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,WEST AVE,KITCHENER,2010-09-19,2015-07-31,OPERATIONS,2016-04-21,25706.15923965,1741.20123815385
329,2347,GRAND RIVER TRAIL - OLD COTTAGE LANE GREENWAY,GREENWAY,OPEN SPACE,MINOR,,KESTREL PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,10163.09847057,726.808517016538
330,2486,WESTCHESTER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,173,WESTCHESTER DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,16590.604549575,671.250627146216
331,2275,KNOLLWOOD PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,311,EAST AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,34822.25407371,837.578455822843
332,3183,HURON TRAIL,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,HURON RD,KITCHENER,2005-06-01,2014-05-07,58M-346,2005-03-24,5673.63123697,859.849941528216
333,2342,GRAND RIVER NATURAL AREA (OLD MILL),NATURAL AREA,OPEN SPACE,LOCAL,,OLD MILL RD,GRCA,2010-09-19,2014-05-07,KPMP,2010-06-01,22767.482500735,1207.51539427565
334,5584,ROCHEFORT PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,LOCAL,,ROCHEFORT ST,KITCHENER,2011-04-18,2014-06-05,30T-10201,2010-10-26,1742.01446996,174.004671400054
335,2372,ASH PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,7,ASH ST,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,2977.4836107,364.62243977898
336,2326,CARLYLE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,580,PIONEER DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,27509.26315975,792.236991277632
337,2480,RITTENHOUSE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,345,RITTENHOUSE RD,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,70214.1971806,1563.60324234178
338,6073,SHOEMAKER GREENWAY,OPEN SPACE,OPEN SPACE,MINOR,,MILL ST,KITCHENER,2012-10-19,2013-05-01,58M-542,2012-07-16,1778.32055446,351.338965184378
339,3064,PETRIFYING SPRING NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WABANAKI DR,KITCHENER,2005-02-18,2014-05-07,OPERATIONS,2016-04-21,47699.256573165,1573.27998654377
340,5497,FALCONRIDGE DRIVE NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,FALCONRIDGE DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,11199.714538905,452.426998175273
341,5517,UPPER CANADA PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,UPPER CANADA DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,74667.393146045,1858.81930056786
342,5501,RITTENHOUSE PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,RITTENHOUSE RD,KITCHENER,2010-09-19,2014-05-12,OPERATIONS,2016-04-21,10580.21015158,1367.53973300417
343,5527,PAIGE PARK NATURAL AREA (FLOOD PLAIN),NATURAL AREA,OPEN SPACE,LOCAL,,PAIGE ST,KITCHENER,2010-09-19,2014-02-13,58M-411,2006-07-21,113167.269098005,1320.54652852957
344,2508,SHOEMAKER GREENWAY,GREENWAY,OPEN SPACE,MINOR,,KEHL ST,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,35149.96427204,2545.57831766829
345,2322,SOUTHWEST OPTIMIST SPORTS FIELD,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,120,PIONEER DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,87414.192528555,1231.22596065401
346,5513,LAKESIDE PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,LAKESIDE DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,99958.945689035,2541.39199725286
347,2514,YELLOW BIRCH PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,135,YELLOW BIRCH DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,17462.330363375,659.300147606039
348,2339,HIGHGATE ROAD - SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,HIGHGATE RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2445.330470765,194.905451821153
349,2462,SHUPE GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,OTTAWA ST N & WEBER ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,372.3487853,80.7975063152917
350,2503,RADDATZ PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,MINOR,,GAGE AVE,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,17311.10074343,1084.43181115926
351,2333,MAUSSER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,219,STIRLING AVE S,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,47900.312346095,1635.65845857966
352,2395,CHERRY PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,84,STRANGE ST,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,30324.135740615,938.521619795996
353,2361,TYSON PARK,NEIGHBOURHOOD PARK,FACILITY PROPERTY,LOCAL,20,TYSON DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,7007.810240005,423.825630719251
354,2550,LAKESIDE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,140,LAKESIDE DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,53966.946876365,2332.70350581144
355,2308,FORLER GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,JUNIPER CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1425.43714212,149.870510489479
356,2501,EBY PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,137,HOLBORN DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,24763.88609916,1062.45171778441
357,2394,GZOWSKI PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,10,CHOPIN DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,61232.40584318,1150.04628308213
358,2378,HIGHLAND COURTS PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,120,HIGHLAND RD E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,23770.08816134,803.286231430836
359,2482,SCHOOL CREEK,NATURAL AREA,OPEN SPACE,MINOR,,WOODSMANS CRT,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,25496.373952685,1292.50546630768
360,2574,WILSON PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,72,WILSON AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,112087.31041457,3102.29154523856
361,4833,COUNTRY CLAIR PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,34,COUNTRY CLAIR ST,KITCHENER,2008-02-06,2015-07-31,OPERATIONS,2008-02-06,11400.81763575,511.740834415462
362,5297,HENRY STURM GREENWAY - FENWICK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WEST AVE,KITCHENER,2009-02-25,2014-05-07,OPERATIONS,2016-04-21,5061.655014915,424.013138400892
363,2374,TIMBERLANE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,38,TIMBERLANE CRES,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,11298.226763555,745.03959074022
364,2468,GUELPH STREET PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,800,GUELPH ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,12511.01990389,649.277045112065
365,2329,COUNTRY HILLS PARK,DISTRICT PARK,PLAY AREA,MINOR,365,COUNTRY HILL DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,42970.06678978,1168.45380432122
366,5540,CONCORDIA PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,25,GREENBROOK DR,KITCHENER/REGION,2010-09-19,2016-02-19,OPERATIONS,2016-04-21,17917.058719095,1219.08365001384
367,5484,CONCORDIA PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,GREENBROOK DR,KITCHENER/REGION,2010-09-19,2016-02-19,OPERATIONS,2016-04-21,74943.026206655,2605.59546161045
368,5481,KIWANIS PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLOT,MAJOR,1000,KIWANIS PARK DR,KITCHENER,2010-09-19,2016-03-17,OPERATIONS,2016-04-21,310771.239934485,3380.67729703257
369,5504,WESTHEIGHTS PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WESTHEIGHTS DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,43766.5977594,1615.29534372449
370,2996,GRAND RIVER NATURAL AREA - SIMS ESTATE,NATURAL AREA,OPEN SPACE,LOCAL,,EDGEWATER CRES,KITCHENER,2005-01-31,2014-05-07,OPERATIONS,2005-02-18,124768.92501176,2346.06000622627
371,2358,GEORGIAN PARK,NATURAL AREA,OPEN SPACE,MINOR,,GEORGIAN CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,15527.1362399,814.074085039874
372,2400,CENOTAPH GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,15,DUKE ST E,FEDERAL GOVERNMENT,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,895.43920931,121.903497881962
373,2396,FRANKLIN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,335,FRANKLIN ST N,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,37725.377922125,1138.77737625033
374,2435,GLENCLIFFE COURT - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,LOCAL,,KEEWATIN AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,4168.455383645,287.560858093001
375,2438,FRAN ELLEN CRESCENT - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,FRAN ELLEN CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3883.29627599,466.975100682818
376,2353,FAIRWAY ROAD NORTH - SWP,NATURAL AREA,OPEN SPACE,MINOR,,FAIRWAY RD N,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3622.91241504,331.239052685658
377,5489,IDLE CREEK DRIVE NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,IDLE CREEK DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,6940.222605605,363.432606815202
378,2337,KITCHENER MEMORIAL AUDITORIUM COMPLEX SPORTSFIELD,CITY WIDE PARK,PLAY AREA,MAJOR,400,EAST AVE,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,59401.25784058,1076.54400988622
379,2364,RIVERBEND DRIVE - SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,RIVERBEND DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2045.484703315,186.015717716433
380,2443,OLD HURON COURT,GREEN,OPEN SPACE,MINOR,,OLD HURON CRT,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,288.98704744,92.2449398175679
381,3035,WATERFORD COURT OPEN SPACE,NATURAL AREA,OPEN SPACE,LOCAL,,PINE VALLEY DR,KITCHENER,2005-01-31,2014-05-07,OPERATIONS,2005-01-31,23704.71548774,788.833689188465
382,3047,SCHNEIDER CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,1366,DOON VILLAGE RD,KITCHENER,2005-02-18,2014-05-07,OPERATIONS,2005-02-18,15993.70610054,837.346294384852
383,2536,RIDGEMOUNT TRAIL,GREENWAY,OPEN SPACE/TRAIL,MINOR,,RIDGEMOUNT ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3489.03360991,701.497759381613
384,2444,PIONEER TOWER ROAD - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,PIONEER TOWER RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,7537.902213765,392.243802503996
385,2425,VERONICA DRIVE - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,VERONICA DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1449.073177415,153.084165812234
386,5549,RIVERBEND DRIVE NATURAL AREA - SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,RIVERBEND DR,KITCHENER,2010-09-20,2014-05-07,OPERATIONS,2016-04-21,19639.532892195,738.670811993646
387,2528,RIVERS EDGE WALK,NATURAL AREA,OPEN SPACE/TRAIL,MINOR,,EDGEHILL DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,16988.745515945,2195.44537386903
388,5457,SHADED CREEK DR - SWP,NATURAL AREA,OPEN SPACE/SWM,LOCAL,,SHADED CREEK DR,KITCHENER,2010-08-22,2015-08-25,58M-584,2015-06-26,13681.07625063,535.760834838234
389,2461,WALDAU WOODS PARK,NATURAL AREA,OPEN SPACE,MINOR,,TRUSSLER RD,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,47591.51277353,1208.29638397225
390,2397,HIBNER PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,70,AHRENS ST W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,530.90331756,113.76832605447
391,2593,FOREST HEIGHTS COMMUNITY CENTRE AND FIRE HALL,NEIGHBOURHOOD PARK,FACILITY PROPERTY,MINOR,1700,QUEENS BLVD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,21670.375216435,637.360173510224
392,2273,SILVER GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,SILVER ASPEN CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2022.15138395,193.064880505546
393,4839,TILT TRAIL,GREENWAY,OPEN SPACE/TRAIL,MINOR,,TILT DR,KITCHENER,2008-02-08,2014-05-15,OPERATIONS 2008 PARK AUDIT,2008-02-08,9575.6013007,1407.01719686216
394,3006,GRAND RIVER NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,ZELLER DR,KITCHENER,2005-01-31,2014-05-15,OPERATIONS,2005-01-31,91027.852645675,2715.15603330537
395,2463,DOON CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,DOON SOUTH DR,KITCHENER,2003-09-24,2014-05-15,OPERATIONS,2016-04-21,165465.871532805,2383.92527785835
396,2291,FISCHER PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,47,FISCHER HALLMAN RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,31890.621941865,779.174688205102
397,5541,STRASBURG SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MAJOR,,STRASBURG RD,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,23958.196813135,902.845842501334
398,2414,OKTOBERFEST PLATZ,GREEN (URBAN PLAZA),PASSIVE AREA,LOCAL,19,BENTON ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,311.117236765,83.8457599090632
399,2388,DIXON GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,DIXON ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,6677.62384355,846.484779894721
400,3305,HUCK PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,HUCK CRES,KITCHENER,2005-12-12,2015-07-31,OPERATIONS,2016-04-21,7826.400797085,656.110833397196
401,6632,DOON MILLS PARK,NEIGHBOURHOOD PARK,PLAY AREA,MAJOR,4,DOON MILLS DR,KITCHENER,2013-11-06,2015-07-31,Playground Inspections ,2013-11-06,5689.213158005,311.06352530064
402,2304,WEBER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,380,FREDERICK ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,20431.77858982,580.727867275452
403,2368,GEORGE LIPPERT PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,200,WEBER ST W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,7571.5073916,408.979929672845
404,2282,WOODSIDE NATIONAL HISTORIC PARK (FEDERAL),OTHER,HISTORIC SITE,MAJOR,570,WELLINGTON ST N,FEDERAL GOVERNMENT,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,46943.93143838,1641.63252485045
405,2416,SPEAKERS CORNER,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,BENTON ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,662.080455615,131.125378538786
406,2276,ROSEMOUNT PARK,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,AVON RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3392.690514105,330.142709085498
407,5483,ALPINE PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,KINGSWOOD DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,20958.999869,780.353881695531
408,7532,UNNAMED 95,NEIGHBOURHOOD PARK,PARK,LOCAL,,MARIANNE DORN TRAIL,KITCHENER,2015-01-23,2015-01-23,58M-572,2014-05-15,2418.83153201,209.461204686772
409,2556,RIVER RIDGE COMMUNITY PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,144,HAWKSWOOD DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,27834.92747791,893.207630626464
410,2545,HILLSIDE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,15,HILL ST,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,11726.326361955,711.694781625215
411,3600,TREMAINE PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,LOCAL,100,WILLIAM LEWIS ST,KITCHENER,2006-03-29,2015-07-31,30T-00201,2006-02-24,14197.69919719,595.82807567305
412,2293,GREENGABLE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,1220,GREENGABLE WAY,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,18085.062478905,612.549356443609
413,2392,EASTFOREST PARK,DISTRICT PARK,MINOR SPORTSFIELD,MINOR,140,EASTFOREST TRAIL,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,37660.346215955,1053.81090198647
414,2370,LIONS PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,20,RITTENHOUSE RD,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,103782.58774006,1651.89517198615
415,5485,HEARTHWOOD DR TRAIL NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,LOCAL,,HEARTHWOOD DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2005-02-18,3458.526393485,483.861119690644
416,2544,GRAND VIEW WOODS NORTH (MTO),NATURAL AREA,OPEN SPACE,MINOR,,GRANDHILL DR,PROVINCE OF ONTARIO,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,294122.116864055,2630.43134668161
417,4673,FALLOWFIELD PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,185,FALLOWFIELD DR,KITCHENER,2007-02-06,2015-09-10,58M-520,2011-06-06,16200.978809165,570.127695848145
418,5524,BALZER GREENWAY EAST NATURAL AREA,GREENWAY,OPEN SPACE/HAZARD LAND,MINOR,,COUNTRY HILL DR,KITCHENER,2010-09-19,2015-09-10,OPERATIONS,2016-04-21,110876.263720975,3559.10435692239
419,5415,DOON SOUTH CREEK NATURAL AREA TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,LOCAL,,SOUTH CREEK DR,KITCHENER,2010-07-07,2015-08-27,58M-541,2012-06-05,2072.195027725,839.697618930901
420,5298,HALLMAN,NATURAL AREA,OPEN SPACE,MINOR,,LACKNER BLVD,PRIVATE,2009-02-25,2016-03-02,OPERATIONS,2005-02-18,100482.270158365,1808.04215430696
421,7536,OSCAR LAUBER PARK,NEIGHBOURHOOD PARK,PLAY AREA,LCOAL,316,LOUISA ST,KITCHENER,2015-01-23,2015-09-08,58M-561,2013-10-08,1166.465428755,166.113294193055
422,5416,BLAIR CREEK PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,,ROBERT FERRIE DR,KITCHENER,2010-07-13,2015-09-08,30T-07202,2009-11-04,7326.086314165,343.717233965691
423,5587,DOON CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/FLOODPLAIN,MINOR,,FOREST CREEK DR,KITCHENER,2011-04-25,2015-08-28,58M-504,2010-09-16,87949.2937925,1588.8968188528
424,5568,FOREST CREEK DR - SWP,OPEN SPACE,OPEN SPACE/SWM,LOCAL,,FOREST CREEK DR,KITCHENER,2010-11-24,2015-08-28,58M-502,2010-09-14,8733.37118846,399.50341604426
425,3043,DOON CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/FLOODPLAIN,MINOR,,DOON SOUTH DR,KITCHENER,2005-01-31,2015-08-28,58M-316,2005-01-31,186515.097444005,3773.68359890714
426,5569,FOREST CREEK DR PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,40,FOREST CREEK DR,KITCHENER,2010-11-24,2015-08-28,58M-502,2010-09-14,1649.72766083,212.315593085288
427,2575,WINDRUSH PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,,WINDRUSH TRAIL,KITCHENER,2003-09-24,2016-02-18,OPERATIONS,2016-04-21,30742.71587048,1698.98543330505
428,5413,DOON SOUTH CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,STAUFFER DR,KITCHENER,2010-07-07,2015-08-27,58M-541,2012-06-05,10520.094978715,570.368758790043
429,6072,MILL ST PARKETTE,GREEN (PARKETTE),PARK,MINOR,346,MILL ST,KITCHENER,2012-10-19,2016-03-01,58R-17321,2011-12-12,376.3355674,81.5937603722283
