OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
112,8554,TOPPER WOODS CRES - SWP,OPEN SPACE,OPEN SPACE/SWM,MINOR,,TOPPER WOODS CRES,KITCHENER,2015-08-28,2015-08-28,58M-395,2006-04-25,8664.007548755,519.277211691143
113,5500,MILLWOOD PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,MILLWOOD CRES,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,15646.834412745,717.231922477552
114,2506,MIDLAND PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,39,MIDLAND DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,20361.056034775,631.081770170397
115,2471,MOTZ GREEN,GREEN (PARKETTE),PLAY AREA,MINOR,,FAIRWAY RD S,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3541.844844285,391.206643603195
116,5567,DOON CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/FLOODPLAIN,MINOR,,FOREST CREEK DR,KITCHENER,2010-11-24,2015-08-28,58M-502,2010-09-14,11033.39365386,686.739963876274
117,2359,KOLB PARK,NATURAL AREA,OPEN SPACE,MINOR,1765,CENTENNIAL CRT,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,87194.015822565,1905.75305397112
118,2284,ARNOLD PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,70,ARNOLD ST,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,1874.97999887,294.922899119935
119,2285,BRUBACHER PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,65,BRUBACHER ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,646.55389094,105.304714510452
120,2365,UNION LANE GREEN,GREEN (PARKETTE),OPEN SPACE,LOCAL,220,UNION LANE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,4244.51759265,586.971468761119
121,5486,SCHNEIDER CREEK MANITOU NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WABANAKI DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,78137.344384775,1329.18437550563
122,3271,ABRAM STAUFFER GREEN,GREEN,PASSIVE AREA,MINOR,,TILT DR,KITCHENER,2005-08-31,2014-05-07,OPERATIONS,2005-01-31,3602.010732715,252.604347871316
123,2451,KESTREL STREET - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,LOCAL,,KESTREL ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,24871.543443635,1225.05046870708
124,2281,VOISIN GREENWAY,GREENWAY,OPEN SPACE/SWM,MINOR,,STONYBROOK DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,33138.28856431,4254.92185441457
125,2352,HYDRO CORRIDOR (HYDRO),OTHER,HYDRO CORRIDOR,LOCAL,,FRANKLIN ST N,HYDRO,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,9612.103679715,692.294111269775
