OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
80,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,80,17.3630514472543
81,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,81,17.7530863268898
82,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,82,21.6342150111254
83,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,83,78.6722453998232
84,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,84,20.0359471353365
85,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,85,16.1603914015101
86,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,86,85.5559347224886
87,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,87,4.87925505892037
88,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,88,228.224756763611
89,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,89,19.2560606989072
90,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,FLAT,PARK PLAN,2016-04-19,90,33.1542292348587
91,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,91,13.1466366364177
92,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,92,290.441531984009
93,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,3,FLAT,2015 TRAIL INVENTORY PROJECT,2014-05-15,93,2.33717224440134
94,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,94,17.8761240905292
95,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,95,180.230182134814
96,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,96,53.9321739372046
97,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,4,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,97,63.2604956532116
98,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,98,18.3510185453015
99,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,99,20.8343416349065
100,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,100,278.903094335254
101,SIDEWALK,NA,,CONCRETE,1.5,N,DON MOSS,2006-12-28,101,5.99388296265451
102,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,102,39.6087603837784
103,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,103,21.5362768121605
104,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,104,26.0933917390975
105,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,105,15.903819446284
106,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,106,82.9635239647905
107,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,107,89.6934773065838
108,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,108,61.9902213690693
109,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,109,133.631064342637
110,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,110,20.4169494415792
111,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,111,383.891076471125
112,LINK,PED AND BIKE LINK,,,,,ORTHO 2014,2014-05-15,112,8.1175246103723
113,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,113,90.8432817837951
