OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
7348,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,MODERATE,TO INPUT,2010-09-01,7348,117.975387623298
7349,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7349,237.965617131363
7350,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7350,5.73670345233218
7351,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2006-03-22,7351,61.0825844242092
7352,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7352,246.91256839104
7353,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7353,18.9433776634475
7354,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7354,18.9160232387783
7355,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7355,18.3952627293007
7356,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,4,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7356,26.3845580499276
7357,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7357,173.002690922714
7358,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,7358,165.043687831998
7359,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7359,19.3771763113205
7360,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2014-05-15,7360,5.29970628337081
7361,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7361,71.2027786789975
7362,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,7362,94.6957851355592
7363,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7363,18.0844542281486
7364,SIDEWALK,NA,,ASPHALT,1.5,N,ORTHO 2003,2003-04-01,7364,86.1204561410547
7365,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,7365,6.76591307195358
7366,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,7366,400.503805776923
7367,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,4,TO INPUT,ORTHO 2014,2014-05-15,7367,4.11897618954031
7368,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7368,15.395493231787
7369,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7369,18.4820950373598
7370,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7370,14.3285006124158
7371,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7371,17.0196210257456
7372,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7372,18.1593914153755
7373,TRAIL,MULTI-USE PATHWAY,SURFACE,GRAVEL,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2014-01-16,7373,169.090072156573
7374,SIDEWALK,NA,,CONCRETE,1.5,N,SIDEWALK PRIORITY PROJECT,2005-10-01,7374,360.051701838376
7375,LINK,PED LINK,,CONCRETE,1.5,N,,2016-04-19,7375,23.8456875801475
7376,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7376,16.9720173123291
7377,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7377,31.6251482045282
7378,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7378,19.17258907138
7379,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7379,10.0074753359676
7380,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,7380,331.5960393703
7381,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7381,14.980536666288
7382,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7382,63.3126535259738
7383,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,7383,9.14719746807731
7384,SIDEWALK,NA,,CONCRETE,3,N,ORTHO 2012,2012-04-01,7384,3.74549454411564
7385,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7385,82.9846168325793
7386,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7386,12.421528816972
7387,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7387,465.191405019858
7388,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7388,16.3780121336504
7389,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7389,12.9792633246267
7390,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7390,4.29434511188842
7391,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2009,2016-04-19,7391,73.823441226009
7392,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,7392,121.228107857116
7393,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7393,13.7363849167093
7394,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7394,396.988867984402
7395,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7395,22.0805444708685
7396,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7396,2.90022444993487
7397,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7397,84.0463883748752
7398,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7398,16.9413572590864
7399,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7399,19.6426425556746
7400,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2.5,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7400,117.816125328519
7401,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,7,TO INPUT,ORTHO 2014,2014-04-15,7401,4.09784240790199
7402,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7402,163.342706164893
7403,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2016-04-19,7403,110.145380898697
7404,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,2,STEEP,2015 TRAIL INVENTORY PROJECT,2015-10-01,7404,124.068674834027
7405,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7405,13.1066326770075
7406,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7406,283.70830609966
7407,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,7407,12.8685182146197
7408,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7408,79.2467802374306
7409,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7409,19.4863023770545
7410,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7410,28.9784436564522
7411,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7411,190.010526810964
7412,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7412,8.11703102987786
7413,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7413,15.2717932123245
7414,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7414,173.659826468432
7415,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7415,11.5427890494455
7416,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7416,13.7669553242538
7417,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7417,26.0512238286419
7418,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7418,13.3230325530639
7419,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7419,347.132981949478
7420,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7420,25.6001790753502
7421,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7421,17.8220744123685
7422,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7422,14.2107943089048
7423,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7423,16.1219960789599
7424,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7424,24.1421046110317
7425,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7425,17.8853111468602
7426,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7426,18.4894780534768
7427,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7427,106.800985206825
7428,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7428,18.8889743292218
7429,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7429,16.9036714689443
7430,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7430,82.1971603569126
7431,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7431,18.410369538931
7432,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,CCL TRAIL,2010-09-01,7432,32.1877072553717
7433,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7433,325.041976146024
7434,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7434,18.9791045336707
7435,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7435,19.161739075825
7436,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2014-01-16,7436,18.3706109427721
7437,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7437,29.446503186117
7438,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7438,93.7566850137251
7439,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7439,166.53113223898
7440,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7440,7.76469004210728
7441,SIDEWALK,NA,,ASPHALT,1.5,N,ORTHO 2003,2003-04-01,7441,114.605233554294
7442,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7442,20.9521086577741
7443,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7443,18.0798151829603
7444,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,TO INPUT,ORTHO 2014,2014-05-15,7444,136.083614944269
7445,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7445,13.6307010402987
7446,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7446,24.0948470673711
7447,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7447,17.7922483247621
7448,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7448,54.5017726615383
7449,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7449,291.222500532564
7450,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7450,359.638546679911
7451,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7451,20.672611833051
7452,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7452,24.8230123333168
7453,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2006-02-01,7453,34.2965519702764
7454,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7454,13.7007772516744
7455,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7455,15.1491916649041
7456,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,4,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7456,51.2834756922509
7457,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7457,17.7182841844237
7458,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2006-02-01,7458,83.7415890068779
7459,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7459,16.394082408601
7460,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7460,22.5095153643965
7461,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7461,177.774297560988
7462,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7462,145.135292654307
7463,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,7463,79.6944528270318
7464,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2006,2006-04-01,7464,56.1447304351205
7465,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,7465,42.7075016974723
7466,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7466,117.895369832958
7467,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7467,18.2979653199475
7468,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7468,24.5483983112952
7469,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7469,12.5244772445799
7470,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7470,253.176851649662
7471,SIDEWALK,NA,,ASPHALT,1.5,N,ORTHO 2003,2003-04-01,7471,76.0379666762475
7472,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7472,12.1179333110065
7473,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7473,15.4746087440038
7474,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7474,72.0104091574513
7475,TRAIL,MULTI-USE PATHWAY,BRIDGE,ASPHALT,2.5,STEEP,2015 TRAIL INVENTORY PROJECT,2015-10-01,7475,118.789132219071
7476,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7476,19.0987747486586
7477,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7477,16.9768214884295
7478,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7478,16.1500506590537
7479,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7479,20.0632570568689
7480,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7480,9.01445466459286
7481,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2,STEEP,2015 TRAIL INVENTORY PROJECT,2015-10-01,7481,4.56753463916805
7482,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7482,15.9276850044192
7483,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7483,20.2928277635228
7484,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7484,14.7754280063218
7485,SIDEWALK,NA,,CONCRETE,3,N,ORTHO 2003,2003-04-01,7485,94.7719168963232
7486,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,7486,98.4336294373496
7487,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,7487,323.608520150405
7488,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7488,74.6054108805119
7489,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,1.5,STEEP,2015 TRAIL INVENTORY PROJECT,2014-05-15,7489,190.518607736085
7490,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7490,18.6582958412605
7491,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7491,87.4938759368334
7492,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7492,11.8560738568887
7493,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7493,399.131017480201
7494,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,,N,ORTHO 2014,2014-05-15,7494,5.9491278352377
7495,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,TO INPUT,,2016-04-19,7495,3.36105140246322
7496,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7496,85.8579373176994
7497,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7497,65.9345413172924
7498,TRAIL,MULTI-USE PATHWAY,SURFACE,NATURAL,2.25,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,7498,41.194975218006
7499,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7499,16.4548236550867
7500,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7500,40.0558874416733
7501,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7501,131.143900275698
7502,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7502,18.6263899508198
7503,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7503,16.8600651259122
7504,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2014,2014-05-15,7504,149.552533981943
7505,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7505,14.9590114021616
7506,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7506,85.2286055267402
7507,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,PARK PLAN,2014-07-02,7507,8.12849017284268
7508,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,7508,203.370213726593
7509,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7509,15.9306462809894
7510,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7510,14.8731505004824
7511,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7511,13.817587403645
7512,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7512,174.64170520649
7513,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7513,81.5395437601337
7514,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7514,57.3949408310524
7515,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7515,21.1724576835095
7516,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7516,138.538383369375
7517,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7517,84.1480179071379
7518,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7518,16.5768952666053
7519,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2010-09-01,7519,31.810416569975
7520,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,2.25,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,7520,4.12459362968038
7521,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7521,158.401009781254
7522,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7522,17.1036384444948
7523,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7523,94.1912829020287
7524,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7524,16.5605914945693
7525,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7525,16.1193475479003
7526,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,7526,10.7179713215701
7527,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,7527,89.8161830324003
7528,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2006-02-01,7528,96.5609955206552
7529,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7529,35.5922125499951
7530,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7530,55.9472075429765
7531,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7531,557.475140530752
7532,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7532,80.6420169460818
7533,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,7533,87.2894864190671
7534,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7534,123.709533920662
7535,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7535,19.492013337262
7536,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7536,17.6257389904651
7537,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2003,2003-04-01,7537,139.902132368064
7538,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7538,48.6633973874616
7539,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7539,308.953328887417
7540,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7540,92.1966488135302
7541,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7541,124.052418259593
7542,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7542,16.1195312648973
7543,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2006,2006-04-01,7543,210.322686086709
7544,SIDEWALK,NA,,ASPHALT,2,N,,2016-04-19,7544,239.304365380453
7545,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2014-01-16,7545,102.411128652238
7546,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7546,14.1926228953636
7547,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,2.25,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,7547,3.30061120400449
7548,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7548,16.8147465960686
7549,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7549,12.2942849338212
7550,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7550,91.1425111044481
7551,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7551,60.4312588837929
7552,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7552,60.5566724607171
7553,TRAIL,CONNECTING PATHWAY,BRIDGE,STEEL,2,STEEP,2015 TRAIL INVENTORY PROJECT,2015-10-01,7553,22.5089916433411
7554,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7554,106.215001228664
7555,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7555,17.4658119816973
7556,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,NONE,2015 TRAIL INVENTORY PROJECT,2014-05-15,7556,2.32286551698543
7557,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7557,157.131053785845
7558,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7558,93.4382359082726
7559,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,7559,122.631938654047
7560,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7560,127.847363366231
7561,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,7561,108.368226740981
7562,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7562,89.0515680666545
7563,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7563,74.3147115424213
7564,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7564,71.7358956656121
7565,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,7565,87.8206438119193
7566,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7566,21.1747982148591
7567,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7567,22.8999913670289
7568,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7568,628.603790589616
7569,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7569,311.881719073385
7570,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2006,2006-04-01,7570,31.9880012216443
7571,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7571,16.3744923527418
7572,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,7572,125.546960084734
7573,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,7573,201.847027191287
7574,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2.5,TO INPUT,TO INPUT,2016-04-19,7574,153.545679577716
7575,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,7575,41.6763049861669
7576,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,7576,18.6779571765758
