OBJECTID,PATH_TYPE,STATUS,SURFACE,LENGTH_M
1415,Pedestrian Crossing,Active,,13.456763
1416,Pedestrian Crossing,Active,,10.755705
1417,Pedestrian Crossing,Active,,12.05416
1418,Pedestrian Crossing,Active,,23.860858
1419,Pedestrian Crossing,Active,,13.018386
1420,Pedestrian Crossing,Active,,8.92274
1421,Pedestrian Crossing,Active,,11.802462
1422,Virtual Link,Active,,12.908441
1423,Virtual Link,Active,,14.264656
1424,Virtual Link,Active,,12.365751
1425,Virtual Link,Active,,11.429402
1426,Virtual Link,Active,,28.718538
1427,Pedestrian Crossing,Active,,12.143693
1428,Virtual Link,Active,,15.207396
1429,Pedestrian Crossing,Active,,11.618931
1430,Pedestrian Crossing,Active,,13.271607
1431,Pedestrian Crossing,Active,,16.466322
1432,Virtual Link,Active,,39.894491
1433,Virtual Link,Active,,10.883921
1434,Virtual Link,Active,,13.209217
1435,Pedestrian Crossing,Active,,12.024963
1436,Pedestrian Crossing,Active,,11.223077
1437,Pedestrian Crossing,Active,,6.542961
1438,Virtual Link,Active,,11.009753
1439,Pedestrian Crossing,Active,,10.173518
1440,Virtual Link,Active,,74.993066
1441,Pedestrian Crossing,Active,,10.22273
1442,Pedestrian Crossing,Active,,12.38762
1443,Pedestrian Crossing,Active,,7.601077
1444,Pedestrian Crossing,Active,,29.764467
1445,Virtual Link,Active,,12.997979
1446,Virtual Link,Active,,10.620743
1447,Pedestrian Crossing,Active,,15.651733
1448,Virtual Link,Active,,11.378182
1449,Pedestrian Crossing,Active,,9.454336
1450,Pedestrian Crossing,Active,,10.052218
1451,Pedestrian Crossing,Active,,11.317602
1452,Pedestrian Crossing,Active,,26.626564
1453,Virtual Link,Active,,13.85545
1454,Virtual Link,Active,,13.155231
1455,Pedestrian Crossing,Active,,13.09251
1456,Pedestrian Crossing,Active,,11.118298
1457,Pedestrian Crossing,Active,,8.66635
1458,Pedestrian Crossing,Active,,6.502362
1459,Virtual Link,Active,,10.567059
1460,Virtual Link,Active,,1.363853
1461,Pedestrian Crossing,Active,,13.274035
1462,Pedestrian Crossing,Active,,9.402424
1463,Pedestrian Crossing,Active,,14.152901
1464,Pedestrian Crossing,Active,,11.749007
1465,Virtual Link,Active,,9.200663
1466,Pedestrian Crossing,Active,,27.323445
1467,Pedestrian Crossing,Active,,19.085411
1468,Pedestrian Crossing,Active,,13.509771
1469,Virtual Link,Active,,9.830814
1470,Virtual Link,Active,,14.170969
1471,Pedestrian Crossing,Active,,9.732731
1472,Pedestrian Crossing,Active,,12.041922
1473,Pedestrian Crossing,Active,,12.009135
1474,Pedestrian Crossing,Active,,11.155594
1475,Pedestrian Crossing,Active,,13.272467
1476,Pedestrian Crossing,Active,,10.610903
1477,Pedestrian Crossing,Active,,11.781804
1478,Pedestrian Crossing,Active,,13.642698
1479,Pedestrian Crossing,Active,,17.277666
1480,Pedestrian Crossing,Active,,11.999044
1481,Pedestrian Crossing,Active,,33.060367
1482,Pedestrian Crossing,Active,,14.414216
1483,Pedestrian Crossing,Active,,15.267566
1484,Pedestrian Crossing,Active,,16.157181
1485,Pedestrian Crossing,Active,,15.215155
1486,Pedestrian Crossing,Active,,11.676641
1487,Pedestrian Crossing,Active,,18.556265
1488,Virtual Link,Active,,7.869433
1489,Pedestrian Crossing,Active,,34.376657
1490,Pedestrian Crossing,Active,,13.734241
1491,Pedestrian Crossing,Active,,15.091553
1492,Virtual Link,Active,,15.980941
1493,Virtual Link,Active,,7.84256
1494,Pedestrian Crossing,Active,,28.427943
1495,Pedestrian Crossing,Active,,12.780169
1496,Pedestrian Crossing,Active,,14.126907
1497,Pedestrian Crossing,Active,,15.16009
1498,Pedestrian Crossing,Active,,8.963243
